"diplome_r","Delai_r","sexe_r","StatutP_r","StatutM_r","Conseil_r","Diff2_r","Exppro_r","Abs1_r","Abs2_r"
">=BAC+3","Facile","Homme","employe","employe","aucun","Plutot dificile",1,0,0
">=BAC+3","Facile","Femme","prof_interm","prof_interm","aucun","Plutot facile",1,0,0
">=BAC+3","Facile","Femme","ing-cadre-prof_lib","employe","un","Plutot facile",2,8,8
">=BAC+3","Facile","Homme","ing-cadre-prof_lib","ing-cadre-prof_lib","plusieurs","Plutot facile",6,0,0
">=BAC+3","Facile","Homme","prof_interm","employe","aucun","Plutot facile",2,0,0
">=BAC+3","Facile","Homme","ing-cadre-prof_lib","ing-cadre-prof_lib","aucun","Plutot facile",2,0,0
">=BAC+3","Facile","Homme","artis-commerc","employe","aucun","Plutot dificile",4,6,8
">=BAC+3","Facile","Homme","ing-cadre-prof_lib","ing-cadre-prof_lib","aucun","Plutot dificile",5,2,13
">=BAC+3","Facile","Homme","prof_interm","NSP","aucun","Plutot facile",4,0,52
">=BAC+3","Facile","Femme","prof_interm","prof_interm","plusieurs","Plutot facile",4,2,8
">=BAC+3","Facile","Femme","artis-commerc","ing-cadre-prof_lib","plusieurs","Plutot facile",1,0,0
">=BAC+3","Facile","Homme","ouvrir","employe","aucun","Plutot facile",0,0,34
">=BAC+3","Facile","Femme","ing-cadre-prof_lib",NA,"aucun","Plutot dificile",5,13,13
">=BAC+3","Facile","Femme","ing-cadre-prof_lib","prof_interm","aucun","Plutot facile",2,0,0
">=BAC+3","Facile","Homme","artis-commerc","ing-cadre-prof_lib","aucun","Plutot dificile",0,0,23
">=BAC+3","Facile","Femme","prof_interm","NSP","aucun","Plutot facile",1,2,31
">=BAC+3","Facile","Homme","ing-cadre-prof_lib","ing-cadre-prof_lib","aucun","Plutot dificile",3,0,0
">=BAC+3","Facile","Homme","prof_interm","employe","un","Plutot facile",0,0,0
">=BAC+3","Facile","Femme","NSP","NSP","aucun","Plutot dificile",2,7,15
">=BAC+3","Facile","Homme","employe","ing-cadre-prof_lib","aucun","Plutot facile",6,5,5
">=BAC+3","Facile","Homme","employe","employe","aucun","Plutot facile",2,0,0
">=BAC+3","Facile","Femme","ing-cadre-prof_lib","ing-cadre-prof_lib","plusieurs","Plutot facile",3,0,0
">=BAC+3","Dificile","Femme","ing-cadre-prof_lib","ing-cadre-prof_lib","un","Tres dificile",4,14,45
">=BAC+3","Facile","Femme","artis-commerc","employe","aucun","Plutot facile",1,1,NA
">=BAC+3","Facile","Homme","ing-cadre-prof_lib","employe","aucun","Plutot facile",3,0,0
">=BAC+3","Facile","Homme","employe","artis-commerc","plusieurs","Plutot facile",0,0,6
">=BAC+3","Dificile","Homme","ing-cadre-prof_lib","prof_interm","un","Plutot dificile",3,10,NA
">=BAC+3","Facile","Homme","ouvrir",NA,"plusieurs","Plutot facile",0,0,24
">=BAC+3","Facile","Femme","artis-commerc","prof_interm","aucun","Tres facile",4,0,5
">=BAC+3","Facile","Homme","agric","agric","aucun","Plutot dificile",3,10,34
">=BAC+3","Facile","Homme","agric","agric","aucun","Plutot dificile",2,0,37
">=BAC+3","Facile","Homme","ing-cadre-prof_lib","ing-cadre-prof_lib","aucun","Plutot dificile",3,0,0
">=BAC+3","Facile","Femme","ing-cadre-prof_lib","employe","aucun","Tres facile",3,0,0
">=BAC+3","Facile","Homme","prof_interm","ing-cadre-prof_lib","aucun","Plutot facile",3,0,0
">=BAC+3","Facile","Homme","employe","ing-cadre-prof_lib","aucun","Plutot dificile",3,0,0
">=BAC+3","Facile","Homme","employe","employe","aucun","Plutot facile",2,0,0
">=BAC+3","Dificile","Homme","NSP","NSP","plusieurs","Plutot dificile",6,0,34
">=BAC+3","Facile","Homme","ing-cadre-prof_lib","ing-cadre-prof_lib","aucun","Plutot facile",3,0,0
">=BAC+3","Dificile","Homme","ing-cadre-prof_lib","NSP","plusieurs","Plutot facile",3,0,32
"BAC+2","Facile","Femme","ing-cadre-prof_lib","employe","plusieurs","Plutot facile",2,2,2
">=BAC+3","Facile","Homme","ouvrir","NSP","un","Plutot facile",2,1,34
"BAC+2","Facile","Femme","employe","employe","aucun","Plutot facile",0,15,27
">=BAC+3","Dificile","Femme","ing-cadre-prof_lib","ing-cadre-prof_lib","plusieurs","Plutot dificile",4,5,38
">=BAC+3","Facile","Homme","artis-commerc","artis-commerc","aucun","Plutot dificile",5,0,18
"BAC+2","Facile","Homme","ing-cadre-prof_lib","employe","un","Plutot dificile",1,0,2
"BAC+2","Facile","Femme","artis-commerc","employe","aucun","Plutot dificile",3,9,10
">=BAC+3","Facile","Femme","ing-cadre-prof_lib","ing-cadre-prof_lib","un","Plutot facile",4,4,4
"BAC","Facile","Homme","employe","employe","aucun","Plutot facile",1,0,0
"BAC+2","Facile","Femme","employe","employe","aucun","Tres dificile",1,0,27
"BAC+2","Facile","Femme",NA,"employe","aucun","Plutot dificile",2,2,13
"BAC+2","Facile","Homme","artis-commerc","ing-cadre-prof_lib","aucun","Plutot dificile",2,0,0
"BAC+2","Facile","Homme","ing-cadre-prof_lib","employe","aucun","Plutot dificile",1,3,NA
">=BAC+3","Facile","Femme","ing-cadre-prof_lib","ing-cadre-prof_lib","aucun","Plutot dificile",2,5,5
">=BAC+3","Facile","Femme","ing-cadre-prof_lib","ing-cadre-prof_lib","aucun","Plutot dificile",1,0,22
">=BAC+3","Facile","Homme","ing-cadre-prof_lib","employe","aucun","Tres dificile",0,2,47
">=BAC+3","Facile","Homme","ing-cadre-prof_lib","ing-cadre-prof_lib","aucun","Plutot facile",4,0,27
">=BAC+3","Facile","Homme","artis-commerc","employe","plusieurs","Plutot facile",2,2,2
